-45,26,-6,2,-5,2,-3,1,-4,1,-4,2,-7,6,-20,19,0
-35,34,-5,4,-4,2,-3,1,-4,2,-4,3,-6,4,-23,22,0
-36,20,-6,2,-4,2,-4,1,-3,1,-3,1,-8,6,-21,14,0
-48,25,-4,3,-4,2,-3,1,-4,1,-3,2,-9,6,-25,19,0
-38,24,-6,2,-4,2,-3,2,-4,1,-4,2,-9,6,-25,15,0
-42,18,-6,2,-4,1,-4,1,-3,1,-4,2,-7,5,-20,17,0
-33,20,-6,2,-4,1,-4,1,-4,2,-4,2,-5,2,-19,12,0
-23,19,-6,2,-4,3,-4,2,-4,1,-4,2,-10,3,-23,19,0
-34,25,-5,3,-4,2,-5,1,-4,2,-5,2,-5,3,-27,16,0
-37,19,-5,3,-4,2,-3,2,-5,2,-3,1,-7,3,-18,14,0
-32,25,-6,3,-4,2,-3,1,-3,1,-4,2,-5,3,-28,24,0
-50,23,-6,4,-4,2,-4,1,-3,1,-5,1,-5,3,-26,14,0
-35,18,-5,3,-4,2,-4,2,-4,1,-4,1,-7,2,-21,11,0
-41,29,-6,2,-4,2,-4,1,-3,1,-3,2,-5,2,-28,14,0
-31,21,-6,3,-3,1,-3,1,-3,1,-5,2,-5,3,-22,13,0
-31,18,-5,2,-4,2,-4,2,-3,1,-3,1,-5,2,-26,23,0
-35,27,-5,3,-4,1,-3,2,-4,1,-3,2,-6,3,-19,17,0
-34,22,-5,2,-4,1,-4,1,-3,2,-4,1,-4,3,-20,17,0
-28,20,-5,3,-4,2,-3,2,-4,2,-3,1,-4,3,-24,12,0
-16,10,-5,2,-3,1,-3,1,-3,1,-3,1,-5,3,-17,13,0
-5,3,-4,4,-3,1,-3,2,-3,1,-4,2,-6,2,-17,17,0
-8,3,-5,2,-4,2,-5,2,-3,2,-4,1,-5,2,-18,16,0
-6,2,-4,1,-3,1,-3,1,-3,1,-3,1,-4,2,-20,12,0
-6,4,-4,2,-4,2,-3,2,-3,1,-3,2,-5,3,-21,16,0
-37,27,-11,8,-6,4,-5,2,-4,1,-4,2,-6,3,-27,12,0
-38,31,-6,4,-5,3,-4,1,-4,1,-5,3,-19,11,-19,15,0
-37,15,-8,5,-4,2,-4,2,-4,1,-4,3,-18,11,-17,15,0
-34,29,-6,3,-5,2,-3,2,-3,1,-4,2,-11,10,-21,15,0
-39,15,-5,4,-3,3,-4,2,-4,2,-4,2,-9,10,-17,12,0
-51,20,-7,3,-4,2,-4,2,-4,1,-4,2,-11,6,-23,11,0
-35,15,-6,3,-4,3,-4,1,-4,1,-4,2,-12,8,-13,17,0
-32,17,-6,4,-4,2,-4,2,-4,2,-4,1,-12,7,-43,21,0
-38,25,-5,4,-5,2,-3,2,-3,2,-4,3,-12,10,-20,12,0
-35,19,-6,4,-4,2,-3,1,-4,1,-5,2,-23,7,-20,11,0
-33,23,-5,4,-5,1,-4,1,-3,1,-5,3,-11,12,-16,11,0
-16,13,-4,2,-4,2,-4,2,-4,1,-4,1,-12,6,-12,11,0
-8,7,-5,6,-4,3,-3,1,-3,1,-5,1,-11,6,-10,12,0
-6,5,-4,3,-4,2,-4,1,-3,2,-4,1,-13,7,-14,10,0
-8,8,-4,2,-4,1,-3,1,-3,1,-4,2,-11,7,-17,8,0
-8,6,-5,3,-5,1,-4,1,-4,1,-5,1,-10,4,-16,12,0
-7,6,-4,4,-4,2,-4,1,-3,1,-6,1,-10,11,-13,9,0
-5,7,-5,3,-5,2,-4,2,-3,1,-4,2,-9,6,-10,11,0
-7,4,-5,5,-4,2,-3,1,-3,1,-4,2,-9,5,-10,15,0
-7,6,-5,3,-4,2,-3,2,-3,1,-5,3,-10,5,-13,9,0
-6,7,-4,3,-4,1,-4,1,-3,1,-4,2,-10,8,-8,11,0
-7,5,-5,3,-5,2,-4,1,-3,1,-6,1,-10,9,-9,8,0
-7,7,-4,2,-3,1,-3,1,-5,1,-4,2,-9,6,-9,7,0
-7,6,-4,3,-3,2,-4,1,-3,1,-4,2,-11,9,-7,11,0
-6,4,-4,4,-4,3,-4,1,-3,1,-4,3,-8,7,-9,8,0
-7,4,-4,3,-5,1,-4,1,-4,1,-5,2,-9,9,-7,9,0
-5,6,-4,2,-3,2,-3,2,-3,1,-5,2,-10,7,-9,8,0
-5,5,-4,3,-4,3,-4,1,-3,1,-5,1,-9,5,-7,8,0
-7,4,-4,2,-4,2,-3,1,-4,1,-5,2,-13,8,-6,9,0
-5,3,-5,2,-5,2,-3,2,-3,1,-5,2,-10,8,-7,7,0
-6,6,-4,2,-4,2,-3,1,-4,1,-4,1,-9,7,-11,7,0
-6,5,-4,3,-4,2,-3,1,-4,1,-5,2,-11,8,-10,8,0
-6,7,-5,3,-4,2,-3,1,-4,2,-4,3,-13,6,-9,11,0
-5,5,-4,3,-4,1,-4,2,-4,1,-5,3,-8,7,-12,9,0
-4,2,-4,3,-4,3,-3,1,-3,1,-4,2,-13,6,-7,4,0
-5,2,-5,2,-4,2,-3,2,-4,1,-3,2,-9,7,-11,7,0
-5,3,-4,3,-5,2,-4,1,-4,1,-4,2,-14,7,-7,11,0
-4,4,-6,4,-4,2,-4,2,-4,1,-4,1,-9,12,-9,9,0
-5,3,-4,2,-4,1,-4,1,-4,2,-3,2,-8,10,-7,6,0
-10,6,-4,3,-4,5,-12,13,-31,16,-22,34,-9,6,-16,6,0
-7,3,-5,2,-3,2,-3,1,-4,1,-3,2,-9,7,-19,10,0
-4,3,-4,2,-4,1,-3,2,-3,1,-4,1,-8,9,-13,9,0
-128,127,-128,127,-113,96,-57,67,-41,34,-38,34,-79,58,-128,127,1
-126,127,-128,104,-77,58,-48,40,-36,30,-48,40,-86,68,-123,122,1
-120,127,-128,113,-108,59,-69,46,-55,49,-70,43,-104,70,-112,127,1
-128,127,-106,91,-72,54,-48,47,-35,29,-42,40,-78,84,-128,112,1
-122,121,-114,93,-59,49,-38,35,-30,27,-38,29,-60,45,-104,96,1
-126,127,-128,67,-49,50,-35,37,-126,103,-37,29,-72,65,-111,110,1
-128,127,-94,127,-46,58,-32,40,-31,30,-41,37,-73,90,-128,120,1
-128,127,-117,127,-59,55,-38,34,-33,29,-51,31,-71,60,-128,127,1
-124,115,-98,87,-48,42,-38,29,-27,21,-34,33,-54,53,-116,88,1
-128,127,-127,120,-73,51,-35,31,-31,22,-43,30,-75,79,-118,124,1
-118,105,-79,119,-50,45,-35,31,-20,18,-28,25,-84,78,-104,86,1
-128,127,-128,125,-116,55,-87,36,-64,31,-82,36,-104,58,-109,120,1
-128,127,-96,127,-58,64,-39,43,-31,34,-44,38,-92,71,-128,121,1
-128,107,-108,123,-57,67,-38,41,-34,32,-53,45,-91,79,-97,127,1
-128,127,-112,97,-50,56,-31,28,-23,24,-31,41,-101,109,-122,109,1
